 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,0.2140,4.3385,0.8368,0.3256,89.0126,0.1429,2.5697,0.3892,0.6411
2,,0.0513,1.1140,0.3450,0.1893,52.0065,0.5195,1.8221,0.5488,0.8493
3,,0.0278,0.7208,0.2808,0.1260,126.2961,0.6723,2.2279,0.4489,0.8811
4,,0.0207,0.5628,0.1948,0.1353,76.2334,0.8211,1.4394,0.6947,0.9241
5,,0.0121,0.4897,0.2155,0.0715,80.4274,0.6341,3.0131,0.3319,0.9098
6,,0.0067,0.3273,0.1396,0.0611,98.0270,0.7860,2.2838,0.4379,0.9371
7,,0.0019,0.1507,0.0555,0.0436,77.1795,1.0000,1.2733,0.7854,0.9744
8,,0.0016,0.1366,0.0451,0.0451,0.0000,1.0000,1.0000,1.0000,1.0000
9,,0.0075,0.3380,0.1188,0.0804,66.0951,0.8250,1.4777,0.6767,0.8929
10,,0.0235,0.5760,0.1827,0.1638,158.3749,0.8902,1.1156,0.8964,0.9216
11,,0.0145,0.5404,0.2322,0.0795,72.0967,0.6239,2.9199,0.3425,0.8869
12,,0.0114,0.4204,0.1614,0.0900,8.4581,0.8105,1.7936,0.5575,0.9120
13,,0.0025,0.1731,0.0626,0.0509,81.4645,1.0000,1.2299,0.8130,0.9091
14,,0.2245,3.8930,0.8668,0.3298,120.8808,0.1861,2.6287,0.3804,0.6168
15,,0.0675,1.3691,0.5787,0.1485,101.3994,0.4525,3.8968,0.2566,0.8089
16,,0.0185,0.5604,0.2008,0.1173,85.0394,0.7402,1.7122,0.5840,0.9113
17,,0.0688,1.2710,0.5630,0.1556,50.9321,0.5352,3.6190,0.2763,0.9192
18,,0.1258,2.0398,0.8514,0.1881,92.6269,0.3799,4.5256,0.2210,0.8420
19,,0.0562,0.9433,0.3016,0.2373,146.5132,0.7938,1.2708,0.7869,0.9131
20,,0.0068,0.3097,0.1143,0.0757,101.8031,0.8909,1.5100,0.6623,0.9067
21,,0.0751,1.2271,0.4542,0.2105,72.3746,0.6267,2.1578,0.4634,0.9393
22,,0.0077,0.3156,0.1097,0.0893,116.1600,0.9717,1.2284,0.8141,0.9448
23,,0.0021,0.1649,0.0663,0.0403,105.8180,0.9710,1.6434,0.6085,0.9333
24,,0.0102,0.3638,0.1185,0.1096,145.2340,0.9682,1.0805,0.9255,0.9401
25,,0.2802,2.2162,0.7270,0.4907,119.1194,0.7169,1.4815,0.6750,0.9418
26,,0.0187,0.6980,0.3212,0.0741,94.5985,0.4823,4.3329,0.2308,0.8990
27,,0.0184,0.5887,0.2382,0.0984,104.8917,0.6672,2.4210,0.4130,0.8910
28,,0.0051,0.3014,0.1304,0.0498,79.6492,0.7054,2.6200,0.3817,0.8571
29,,0.0112,0.3980,0.1448,0.0985,31.8658,0.8886,1.4703,0.6801,0.9333
30,,0.0338,0.7784,0.3206,0.1342,112.8827,0.7010,2.3880,0.4188,0.9222
31,,0.0018,0.1449,0.0535,0.0428,90.0000,1.0000,1.2483,0.8011,0.9474
32,,0.0323,0.7077,0.2652,0.1551,151.2116,0.8104,1.7101,0.5848,0.9176
33,,0.0385,0.7911,0.2513,0.1951,144.5839,0.7730,1.2885,0.7761,0.9080
34,,0.0077,0.3097,0.1058,0.0926,106.8644,1.0000,1.1423,0.8754,0.9390
35,,0.0207,0.7170,0.3172,0.0831,75.2432,0.5060,3.8184,0.2619,0.8980
36,,0.0326,0.7443,0.2318,0.1791,64.3621,0.7396,1.2944,0.7725,0.9043
37,,0.0128,0.4404,0.1512,0.1078,162.3649,0.8293,1.4022,0.7132,0.9143
38,,0.0325,0.7077,0.2186,0.1893,73.6215,0.8155,1.1549,0.8659,0.9286
39,,0.0240,0.5804,0.2065,0.1480,87.4628,0.8952,1.3953,0.7167,0.9543
40,,0.0161,0.4887,0.1768,0.1160,101.5796,0.8471,1.5245,0.6560,0.9333
41,,0.0191,0.5263,0.1967,0.1237,86.2419,0.8666,1.5906,0.6287,0.9479
42,,0.0029,0.1931,0.0751,0.0492,105.7350,0.9770,1.5264,0.6551,0.9206
43,,0.0012,0.1166,0.0451,0.0339,0.0000,1.0000,1.3333,0.7500,1.0000
44,Mean,0.0388,0.7859,0.2622,0.1308,91.0868,0.7549,1.9670,0.5990,0.9040
45,SD,0.0613,0.8736,0.2190,0.0893,38.0709,0.2133,0.9282,0.2118,0.0714
46,Min,0.0012,0.1166,0.0451,0.0339,0.0000,0.1429,1.0000,0.2210,0.6168
47,Max,0.2802,4.3385,0.8668,0.4907,162.3649,1.0000,4.5256,1.0000,1.0000
